Age
5.0,22.0,3.0,19.0,0.024691358024691357,0.13636363636363635,0.9883040935672515,0.9617486338797814,0.026555459687470084,0.03546153357692011
6.0,12.0,4.0,8.0,0.013468013468013467,0.3333333333333333,1.0,0.97632058287796,0.023679417122040025,0.0006323252117141786
7.0,6.0,0.0,6.0,0.006734006734006734,0.0,1.0,0.9872495446265938,0.012750455373406244,0.0
10.0,7.0,0.0,7.0,0.007856341189674524,0.0,1.0,1.0,0.0,0.0
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
title_Capt
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,890.0,342.0,548.0,0.9988776655443322,0.3842696629213483,1.0,0.9981785063752276,0.0018214936247723523,3.3208644107744546e-06
1.0,1.0,0.0,1.0,0.001122334455667789,0.0,1.0,1.0,0.0,0.0
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
title_Col
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,889.0,341.0,548.0,0.9977553310886644,0.38357705286839144,0.9970760233918129,0.9981785063752276,0.0011024829834147543,1.2183596972572228e-06
1.0,2.0,1.0,1.0,0.002244668911335578,0.5,1.0,1.0,0.0,0.0005217916404121984
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
title_Countess
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,890.0,341.0,549.0,0.9988776655443322,0.3831460674157303,0.9970760233918129,1.0,0.0029239766081871066,8.562163096749507e-06
1.0,1.0,1.0,0.0,0.001122334455667789,1.0,1.0,1.0,0.0,0.0
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
title_Don
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,890.0,342.0,548.0,0.9988776655443322,0.3842696629213483,1.0,0.9981785063752276,0.0018214936247723523,3.3208644107744546e-06
1.0,1.0,0.0,1.0,0.001122334455667789,0.0,1.0,1.0,0.0,0.0
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
title_Dona
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,891.0,342.0,549.0,1.0,0.3838383838383838,1.0,1.0,0.0,0.0
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
title_Dr
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,884.0,339.0,545.0,0.9921436588103255,0.3834841628959276,0.9912280701754386,0.9927140255009107,0.0014859553254721325,2.2259355724242458e-06
1.0,7.0,3.0,4.0,0.007856341189674524,0.42857142857142855,1.0,1.0,0.0,0.000275801677300809
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
title_Jonkheer
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,890.0,342.0,548.0,0.9988776655443322,0.3842696629213483,1.0,0.9981785063752276,0.0018214936247723523,3.3208644107744546e-06
1.0,1.0,0.0,1.0,0.001122334455667789,0.0,1.0,1.0,0.0,0.0
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
title_Lady
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,890.0,341.0,549.0,0.9988776655443322,0.3831460674157303,0.9970760233918129,1.0,0.0029239766081871066,8.562163096749507e-06
1.0,1.0,1.0,0.0,0.001122334455667789,1.0,1.0,1.0,0.0,0.0
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
title_Major
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,889.0,341.0,548.0,0.9977553310886644,0.38357705286839144,0.9970760233918129,0.9981785063752276,0.0011024829834147543,1.2183596972572228e-06
1.0,2.0,1.0,1.0,0.002244668911335578,0.5,1.0,1.0,0.0,0.0005217916404121984
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
title_Master
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,851.0,319.0,532.0,0.9551066217732884,0.37485311398354876,0.9327485380116959,0.9690346083788707,0.036286070367174794,0.0013848463405797607
1.0,40.0,23.0,17.0,0.04489337822671156,0.575,1.0,1.0,0.0,0.028142335934911958
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
title_Miss
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,709.0,215.0,494.0,0.7957351290684624,0.3032440056417489,0.6286549707602339,0.8998178506375227,0.2711628798772888,0.09724166194792595
1.0,182.0,127.0,55.0,0.20426487093153758,0.6978021978021978,1.0,1.0,0.0,0.3552617708413585
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
title_Mlle
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,889.0,340.0,549.0,0.9977553310886644,0.38245219347581555,0.9941520467836257,1.0,0.005847953216374324,3.4298944166070836e-05
1.0,2.0,2.0,0.0,0.002244668911335578,1.0,1.0,1.0,0.0,0.0
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
title_Mme
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,890.0,341.0,549.0,0.9988776655443322,0.3831460674157303,0.9970760233918129,1.0,0.0029239766081871066,8.562163096749507e-06
1.0,1.0,1.0,0.0,0.001122334455667789,1.0,1.0,1.0,0.0,0.0
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
title_Mr
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,374.0,261.0,113.0,0.41975308641975306,0.6978609625668449,0.7631578947368421,0.2058287795992714,0.5573291151375708,0.7303353823879293
1.0,517.0,81.0,436.0,0.5802469135802469,0.15667311411992263,1.0,1.0,0.0,0.6743154971929046
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
title_Mrs
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,766.0,243.0,523.0,0.8597081930415263,0.31723237597911225,0.7105263157894737,0.9526411657559198,0.24211484996644617,0.07099589826082803
1.0,125.0,99.0,26.0,0.14029180695847362,0.792,1.0,1.0,0.0,0.4383031801670371
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
title_Ms
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,890.0,341.0,549.0,0.9988776655443322,0.3831460674157303,0.9970760233918129,1.0,0.0029239766081871066,8.562163096749507e-06
1.0,1.0,1.0,0.0,0.001122334455667789,1.0,1.0,1.0,0.0,0.0
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
title_Rev
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,885.0,342.0,543.0,0.9932659932659933,0.3864406779661017,1.0,0.9890710382513661,0.010928961748633892,0.00012009968935076742
1.0,6.0,0.0,6.0,0.006734006734006734,0.0,1.0,1.0,0.0,0.0
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
title_Sir
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,890.0,341.0,549.0,0.9988776655443322,0.3831460674157303,0.9970760233918129,1.0,0.0029239766081871066,8.562163096749507e-06
1.0,1.0,1.0,0.0,0.001122334455667789,1.0,1.0,1.0,0.0,0.0
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Embarked_C
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,723.0,249.0,474.0,0.8114478114478114,0.34439834024896265,0.7280701754385965,0.8633879781420765,0.13531780270347993,0.02306718209048317
1.0,168.0,93.0,75.0,0.18855218855218855,0.5535714285714286,1.0,1.0,0.0,0.09315265143861122
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Embarked_Q
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,814.0,312.0,502.0,0.9135802469135802,0.3832923832923833,0.9122807017543859,0.9143897996357013,0.0021090978813154138,4.8703866913117675e-06
1.0,77.0,30.0,47.0,0.08641975308641975,0.38961038961038963,1.0,1.0,0.0,5.1330136782522014e-05
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Embarked_S
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,247.0,125.0,122.0,0.2772166105499439,0.5060728744939271,0.3654970760233918,0.2222222222222222,0.1432748538011696,0.07129075863679105
1.0,644.0,217.0,427.0,0.7227833894500562,0.33695652173913043,1.0,1.0,0.0,0.02917061054625946
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parch_0
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,213.0,109.0,104.0,0.23905723905723905,0.5117370892018779,0.31871345029239767,0.1894353369763206,0.12927811331607708,0.06725625166719762
1.0,678.0,233.0,445.0,0.7609427609427609,0.34365781710914456,1.0,1.0,0.0,0.022461829682786753
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parch_1
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,773.0,277.0,496.0,0.867564534231201,0.35834411384217335,0.8099415204678363,0.9034608378870674,0.09351931741923114,0.010218922782709451
1.0,118.0,65.0,53.0,0.1324354657687991,0.5508474576271186,1.0,1.0,0.0,0.06334840147647156
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parch_2
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,811.0,302.0,509.0,0.9102132435465768,0.3723797780517879,0.8830409356725146,0.9271402550091075,0.044099319336592835,0.0021491051265664523
1.0,80.0,40.0,40.0,0.08978675645342311,0.5,1.0,1.0,0.0,0.020871665616487924
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parch_3
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,886.0,339.0,547.0,0.9943883277216611,0.38261851015801357,0.9912280701754386,0.9963570127504554,0.005128942575016837,2.6470424389933205e-05
1.0,5.0,3.0,2.0,0.005611672278338945,0.6,1.0,1.0,0.0,0.004507072713229537
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parch_4
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,887.0,342.0,545.0,0.9955106621773289,0.3855693348365276,1.0,0.9927140255009107,0.007285974499089298,5.327975844288996e-05
1.0,4.0,0.0,4.0,0.004489337822671156,0.0,1.0,1.0,0.0,0.0
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parch_5
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,886.0,341.0,545.0,0.9943883277216611,0.38487584650112866,0.9970760233918129,0.9927140255009107,0.004361997890902192,1.912468714001747e-05
1.0,5.0,1.0,4.0,0.005611672278338945,0.2,1.0,1.0,0.0,0.0039825331107870695
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parch_6
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,890.0,342.0,548.0,0.9988776655443322,0.3842696629213483,1.0,0.9981785063752276,0.0018214936247723523,3.3208644107744546e-06
1.0,1.0,0.0,1.0,0.001122334455667789,0.0,1.0,1.0,0.0,0.0
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parch_9
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,891.0,342.0,549.0,1.0,0.3838383838383838,1.0,1.0,0.0,0.0
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pclass_1
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,675.0,206.0,469.0,0.7575757575757576,0.30518518518518517,0.6023391812865497,0.8542805100182149,0.2519413287316652,0.08803809956967526
1.0,216.0,136.0,80.0,0.24242424242424243,0.6296296296296297,1.0,1.0,0.0,0.25292791976588086
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pclass_2
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,707.0,255.0,452.0,0.7934904601571269,0.3606789250353607,0.7456140350877193,0.8233151183970856,0.07770108330936631,0.007702580668093745
1.0,184.0,87.0,97.0,0.20650953984287318,0.47282608695652173,1.0,1.0,0.0,0.028320867275120454
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pclass_3
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,400.0,223.0,177.0,0.4489337822671156,0.5575,0.652046783625731,0.3224043715846995,0.3296424120410315,0.2321703626163608
1.0,491.0,119.0,372.0,0.5510662177328844,0.24236252545824846,1.0,1.0,0.0,0.21970095054294575
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sex_female
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,577.0,109.0,468.0,0.6475869809203143,0.18890814558058924,0.31871345029239767,0.8524590163934426,0.5337455661010448,0.5251163463428704
1.0,314.0,233.0,81.0,0.35241301907968575,0.7420382165605095,1.0,1.0,0.0,0.8165650672127788
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sex_male
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,314.0,233.0,81.0,0.35241301907968575,0.7420382165605095,0.6812865497076024,0.14754098360655737,0.5337455661010451,0.8165650672127788
1.0,577.0,109.0,468.0,0.6475869809203143,0.18890814558058924,1.0,1.0,0.0,0.5251163463428704
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SibSp_0
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,283.0,132.0,151.0,0.3176206509539843,0.4664310954063604,0.38596491228070173,0.2750455373406193,0.11091937494008242,0.03758057015460227
1.0,608.0,210.0,398.0,0.6823793490460157,0.34539473684210525,1.0,1.0,0.0,0.018418913146284174
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SibSp_1
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,682.0,230.0,452.0,0.7654320987654321,0.33724340175953077,0.672514619883041,0.8233151183970856,0.15080049851404465,0.03050922795943815
1.0,209.0,112.0,97.0,0.2345679012345679,0.5358851674641149,1.0,1.0,0.0,0.09305530768443832
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SibSp_2
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,863.0,329.0,534.0,0.9685746352413019,0.38122827346465815,0.9619883040935673,0.9726775956284153,0.010689291534847989,0.00011812077345322092
1.0,28.0,13.0,15.0,0.031425364758698095,0.4642857142857143,1.0,1.0,0.0,0.0035294636161343207
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SibSp_3
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,875.0,338.0,537.0,0.9820426487093153,0.3862857142857143,0.9883040935672515,0.9781420765027322,0.010162017064519246,0.00010502958245944206
1.0,16.0,4.0,12.0,0.017957351290684626,0.25,1.0,1.0,0.0,0.006354559095719061
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SibSp_4
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,873.0,339.0,534.0,0.9797979797979798,0.38831615120274915,0.9912280701754386,0.9726775956284153,0.0185504745470233,0.0003504550618156938
1.0,18.0,3.0,15.0,0.020202020202020204,0.16666666666666666,1.0,1.0,0.0,0.02107612551486131
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SibSp_5
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,886.0,342.0,544.0,0.9943883277216611,0.3860045146726862,1.0,0.9908925318761385,0.00910746812386154,8.332599866655691e-05
1.0,5.0,0.0,5.0,0.005611672278338945,0.0,1.0,1.0,0.0,0.0
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SibSp_8
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,884.0,342.0,542.0,0.9921436588103255,0.38687782805429866,1.0,0.9872495446265938,0.012750455373406244,0.0001636194544429721
1.0,7.0,0.0,7.0,0.007856341189674524,0.0,1.0,1.0,0.0,0.0
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sexpclass_female1
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,797.0,251.0,546.0,0.8945005611672279,0.31493099121706397,0.7339181286549707,0.994535519125683,0.2606173904707123,0.07919597794974623
1.0,94.0,91.0,3.0,0.10549943883277217,0.9680851063829787,1.0,1.0,0.0,1.0126379720315184
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sexpclass_female2
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,815.0,272.0,543.0,0.9147025813692481,0.3337423312883436,0.7953216374269005,0.9890710382513661,0.19374940082446557,0.04224115702377881
1.0,76.0,70.0,6.0,0.08529741863075196,0.9210526315789473,1.0,1.0,0.0,0.5676902931223363
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sexpclass_female3
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,747.0,270.0,477.0,0.8383838383838383,0.3614457831325301,0.7894736842105263,0.8688524590163934,0.07937877480586708,0.007605028580465712
1.0,144.0,72.0,72.0,0.16161616161616163,0.5,1.0,1.0,0.0,0.03756899810967828
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sexpclass_male1
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,769.0,297.0,472.0,0.8630751964085297,0.3862158647594278,0.868421052631579,0.8597449908925319,0.008676061739047114,8.711510100645332e-05
1.0,122.0,45.0,77.0,0.13692480359147025,0.36885245901639346,1.0,1.0,0.0,0.0005540118973346487
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sexpclass_male2
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,783.0,325.0,458.0,0.8787878787878788,0.41507024265644954,0.9502923976608187,0.8342440801457195,0.11604831751509925,0.015114562560917432
1.0,108.0,17.0,91.0,0.12121212121212122,0.1574074074074074,1.0,1.0,0.0,0.13976377273757015
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sexpclass_male3
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,544.0,295.0,249.0,0.6105499438832772,0.5422794117647058,0.8625730994152047,0.453551912568306,0.40902118684689864,0.26292297632824985
1.0,347.0,47.0,300.0,0.3894500561167228,0.13544668587896252,1.0,1.0,0.0,0.5645912371203059
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f0
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,452.0,295.0,157.0,0.5072951739618407,0.6526548672566371,0.8625730994152047,0.2859744990892532,0.5765986003259514,0.6365748042215013
1.0,439.0,47.0,392.0,0.49270482603815935,0.1070615034168565,1.0,1.0,0.0,0.9501344728730281
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,793.0,303.0,490.0,0.8900112233445566,0.38209331651954603,0.8859649122807017,0.8925318761384335,0.006566963857731811,4.849624759504224e-05
1.0,98.0,39.0,59.0,0.10998877665544332,0.3979591836734694,1.0,1.0,0.0,0.0003894991474406471
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f2
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,869.0,320.0,549.0,0.9753086419753086,0.36823935558112775,0.935672514619883,1.0,0.06432748538011701,0.004277117859398618
1.0,22.0,22.0,0.0,0.024691358024691357,1.0,1.0,1.0,0.0,0.0
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f3
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,873.0,341.0,532.0,0.9797979797979798,0.39060710194730813,0.9970760233918129,0.9690346083788707,0.028041415012942217,0.0007999288202208217
1.0,18.0,1.0,17.0,0.020202020202020204,0.05555555555555555,1.0,1.0,0.0,0.06617565425996717
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f4
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,886.0,338.0,548.0,0.9943883277216611,0.38148984198645597,0.9883040935672515,0.9981785063752276,0.009874412807976185,9.81683216241338e-05
1.0,5.0,4.0,1.0,0.005611672278338945,0.8,1.0,1.0,0.0,0.01836228096571585
nan section,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f5
section,positive_negative,positive,negative,positive_negative_ratio,positive_ratio,p_pall_ratio,n_nall_ratio,ks,iv
0.0,726.0,185.0,541.0,0.8148148148148148,0.2548209366391185,0.5409356725146199,0.9854280510018215,0.4444923784872016,0.2665957493747376
1.0,165.0,157.0,8.0,0.18518518518518517,0.9515151515151515,1.0,1.0,0.0,1.5335395849072038
